First,Second,Third,Forth,Fifth
-46253.4837224796,-46252.91998383829,-46248.85025767231,-46250.44727574413,-46253.00391944058
-43412.585971450164,-43411.55228193336,-43410.701521578616,-43407.40307660172,-43292.65988878087
-37219.08984574897,-37212.16914838638,-37192.86147617138,-37207.11264022366,-37168.481958794466
-41028.47180367409,-41023.6749203238,-40985.34782133388,-41034.582644116956,-41015.34437575759
-59455.81529446905,-59455.031720858075,-59457.611092335974,-59452.65186934169,-59452.801625289554
-54350.86366275116,-53771.113966633166,-53919.916238906306,-53931.20847224564,-54347.75163293789
-50449.82887665117,-50728.65048998908,-50681.501858109805,-50725.739948353796,-50731.44779415469
-48449.939473638464,-47084.81858950704,-48462.06192636662,-48425.791097962305,-46531.60725999266
-38844.4853484093,-38819.64297960278,-38825.33066457037,-38706.827099366965,-38837.498754549
-63679.63480107269,-63987.488376892274,-63954.4619648828,-63873.736583669444,-64015.161415416755
-57497.419529322724,-57495.95787030064,-57483.904553040076,-57466.48441636951,-57498.454634525966
-58031.777195068185,-58038.523613093916,-58019.0091039499,-58054.523060387444,-57923.05181919941
-51405.602881265135,-51410.77514336079,-51404.887662550056,-51407.75978467707,-51401.24415344567
-55665.53327603538,-55662.40932788243,-55660.454105377576,-55648.78935282045,-55690.64272667797
-48804.55697128418,-48821.510880478505,-48822.60745390005,-48807.942324770775,-48817.521382922816
-61824.06764006758,-61857.70417942956,-61853.495080149725,-61857.76548297178,-61853.334448535
-61977.79099476869,-62074.567748286856,-62076.385662543136,-42378.409814553765,-62024.20334949972
-48401.95876550936,-50784.884877531214,-50732.69299717101,-50769.50629082835,-30206.944404723192
-54298.951750373126,-54297.59300983922,-54290.56087706523,-54295.816533384415,-54300.985647993395
-50737.38020128599,-50752.91836251706,-50770.02067964305,-50733.60740704699,-50725.77442320065
-53539.715277483214,-53542.19371198237,-53537.87110334966,-53508.52537883755,-53543.43794717469
-60710.265877164864,-53975.00932483318,-60264.96324751878,-60965.98019813638,-60894.156433673474
-64008.431855502335,-64002.041302125945,-64003.742944961974,-63998.639319195965,-64001.19303208089
-51570.07693357582,-51570.93947842699,-51568.438890763224,-51571.665439136355,-51572.96629633122
-52099.391589266525,-52005.86959352643,-52082.044287655466,-51945.07699115083,-52044.910187323265
-56926.662220708524,-57211.279387539726,-57221.2193515462,-56718.0394139176,-57183.16337837258
-38423.267669686116,-38397.110891723474,-38416.95537928691,-38410.06785722937,-38423.910414605976
-56218.35909200924,-56240.95303590948,-56069.19813295196,-56227.309578366185,-56165.41327337903
-41366.73218722772,-41260.121192814426,-41371.07740252242,-40548.69630072391,-38421.048848691215
-53098.85320188878,-53098.47765669968,-53100.66510401108,-53097.61489272488,-53099.57612390744
-41366.82475905665,-40098.560740028704,-40123.60567665082,-41528.62528026337,-40087.83447498127
-40402.44614709413,-39992.00806227145,-39138.14994212094,-40363.46308513217,-40403.754338846586
-46334.0710005895,-43677.87906652142,-43667.464980170684,-43675.58420816695,-43679.863390300095
-40963.38377643892,-40973.08425528123,-40971.390343391424,-38140.42543122518,-40971.76822570992
-52159.955131825685,-52128.58130109602,-52169.38333237582,-52149.84268846172,-52014.17831468805
-40770.717765044916,-35695.122740657585,-40768.49865532093,-40673.752562025016,-40782.33773794767
-54870.536693478396,-48654.74397185901,-54942.809753922,-54362.996276465725,-54858.82227799161
-54542.842157608604,-54544.09433397093,-54544.112091673116,-54543.373326085166,-54539.64645048521
-46031.51499000878,-46038.07206751919,-46047.214128911415,-46037.513208667406,-46044.184391068964
-47823.47519378417,-47824.43128968493,-47814.74044361144,-47821.01359454714,-47822.776998536036
-47873.57563569778,-47887.24445966754,-47808.351616601125,-47887.37599218146,-47846.68126147712
-43147.55176662792,-43149.64358702058,-43131.33019942828,-43144.67153986527,-43145.57122441148
-59286.79316769164,-59287.943893786505,-59296.13274325291,-59285.769957216515,-59297.96898100992
-40186.78514678472,-39838.403109269,-23209.45688884244,-39773.34985192555,-40193.487291179576
-37171.016636444285,-37015.15830513843,-36777.005283111976,-37188.63681672134,-37154.686952307995
-47360.76399100928,-47371.682559050976,-47366.02916847129,-44559.794844588985,-47367.10505480791
-56357.864245196026,-56327.117021373226,-55831.824737668154,-56357.26568123783,-56350.17476622353
-45510.39337996547,-45510.47154232052,-45352.5999635183,-45521.386913581046,-45519.92362253813
-48285.387937984815,-49614.09671220865,-49217.232458045066,-49599.46476367233,-49599.251818961406
