First,Second,Third,Forth,Fifth
-45365.306793832766,-45345.14602484208,-45367.03065731414,-45367.91339296173,-45353.391468208436
-37620.454689947015,-37782.71513160675,-37783.57887017188,-37733.63566255849,-37790.4944002715
-45274.41029957859,-47753.58815999911,-47769.288192249645,-47773.80032502613,-47786.16137116253
-55782.87099172814,-55785.09615593795,-55620.643149372976,-55533.00101597929,-55741.940971559336
-46283.84475333878,-46319.383016831554,-46210.14595520973,-46268.582894126936,-46311.12595845714
-69373.04656503133,-66800.32966134603,-68800.04677118173,-66964.72008825214,-66960.57474321325
-54819.754768517894,-54821.59325043328,-54821.055268314485,-54818.5548797533,-54801.32912765703
-41431.33959491207,-41549.93152317956,-41712.46804449826,-41720.934832886036,-41674.14853024769
-52974.88233985755,-52955.55657431383,-52908.57990159895,-52964.19559934838,-52964.06177768623
-57484.0019727966,-57471.61135582625,-57476.22534671381,-57489.57120244441,-57473.66590304709
-59974.49157451553,-59939.45252500622,-59344.43957296117,-59960.211753492054,-59945.23406745803
-56085.77766669123,-56156.6089561241,-56156.77615209224,-56170.029597257,-58754.68699566504
-46948.445076457305,-46912.702855211326,-46945.34264616035,-46935.443392683475,-46702.972764292375
-52625.84268710331,-50497.045950686486,-50497.62159477046,-50493.17978240749,-50493.35560971782
-52854.70887487196,-52849.37455888077,-52860.095050383534,-52852.38149727187,-52860.083730396495
-52815.21411281043,-53656.878106680146,-53673.64722494,-53659.383525171506,-53665.44519051075
-47243.76267999042,-47234.591550770114,-47232.89926277877,-47237.50389346657,-47236.253176276434
-57982.53054943088,-57198.066711033025,-58002.48533979394,-57981.048024925614,-57875.053940364254
-40985.41269324208,-39030.85593630166,-39897.30300373313,-39538.76553647233,-39892.07060808218
-62965.068511350655,-63000.34802366157,-62890.72349612272,-62894.605761608385,-62996.74113890278
-49794.63462391164,-50013.27185924236,-48228.0654066974,-47442.610387905566,-50489.682246445635
-53563.041640931515,-53560.924786166564,-53557.99581989133,-53569.32730711375,-53553.23644688777
-71648.04660890228,-71707.75522051581,-71716.37058967073,-71701.4098428034,-71620.25655226265
-62640.83431762702,-62657.923206688516,-62630.445033847565,-62661.49214535077,-62644.15131242888
-54173.89349923625,-54805.55016924014,-53375.58788341168,-54764.19920258307,-54540.70938973418
-43378.25033662793,-43354.948089855134,-43369.91992328578,-43367.039910124135,-43377.933256413904
-47802.66409727532,-47949.12730382277,-47880.621973198045,-47940.14419088506,-47846.0161461396
-46074.97106191373,-45765.55822758764,-46060.24237303023,-46015.106160272015,-46050.47844954415
-56054.7813626369,-56065.78748731796,-56143.024886549385,-56001.55578528262,-56061.652458255456
-46536.71711903369,-46154.50910188514,-46494.61684822234,-9150.59881790062,-46523.71873020277
-42716.0157108754,-42633.03525289936,-42675.40744257655,-42686.59276770487,-42676.55633833737
-46143.10603698269,-45891.80496653821,-46079.42820298602,-40422.476266981714,-45967.763369303044
-46892.7861861792,-46948.91555301152,-46947.674342350365,-46842.69756429798,-46950.07175102372
-58979.915538002424,-58974.874499903424,-58974.97060107661,-58955.74708383226,-58961.09977099412
-50940.73730286732,-50943.95098291347,-50918.88755989852,-50902.00370724077,-50829.81519721705
-62743.27494886195,-62760.80402192957,-62745.80417546822,-62750.28968075848,-62741.14961962793
-43577.44066149209,-43597.9486457819,-43601.63224128808,-43587.96927903427,-43599.742152267936
-43082.885810771404,-40339.93905028468,-42549.904768331566,-42815.82039216145,-42917.46074591298
-65333.45607279711,-65967.24450590296,-66084.84631073054,-65888.16847335295,-65969.46862523742
-47267.60301309095,-46780.80920686878,-47724.98351144336,-47694.25438168909,-47717.62070387995
-45462.25977290164,-45476.93449416285,-45466.70439117918,-45467.79414038448,-45471.558898595555
-44675.80892081146,-44455.77120823764,-44679.116377271974,-44694.90833329957,-44663.65758078635
-75041.77439217283,-78861.76176238591,-78869.82000821661,-78868.2873537209,-78867.66835390367
-37250.40584535388,-36834.67340506715,-37242.90054788345,-37241.456952538836,-37234.77400145132
-42394.711875740315,-32959.35087067952,-42425.00113016386,-42387.631198871066,-42293.541901379016
-65310.409411667555,-64859.41960483629,-65277.24095614706,-65309.37423798147,-63071.51565157904
-44706.751620840194,-44708.8578694552,-44716.69283617077,-44703.7264357989,-44719.32430261709
-49379.47194947337,-49344.29123313626,-49378.07336726081,-49368.872876786525,-49379.42172432695
-61462.168950960935,-61927.844670984014,-61871.16613787952,-61934.339638120226,-61843.31498644182
-48771.81620874164,-48687.99241672152,-48765.04548864368,-48789.888517939144,-48739.110689413465
-49829.49190924526,-49828.23092992577,-49820.453427063585,-49833.3262411254,-49776.84807048712
-54843.32436038684,-54836.40077254905,-54857.15301858385,-54707.07590881876,-54845.64772289053
-49473.249328402,-49336.075648981554,-49484.005931540196,-47563.58878843692,-49451.648479690666
-43099.14286643058,-42972.76539760823,-43093.861466897564,-43099.63960283759,-43104.73809570568
-45733.74072261649,-45729.342246550594,-45126.322971207526,-45671.99705247316,-38181.49424558515
-64766.12917188273,-64772.82889170483,-64706.741266342615,-64768.24573706835,-64766.953285756805
-43271.965449913514,-43324.10516959034,-43282.22597798641,-43301.51922379317,-43328.598867450324
-64445.42917104825,-64553.785282555524,-55996.473672037595,-64552.55775150858,-64540.01263992309
-57318.13417885856,-59528.347713498166,-59440.45961163227,-57599.32124553836,-59964.35537867142
-58373.27061571581,-58374.386403415134,-58372.988315108436,-58374.25038621957,-58374.63547047793
-49227.212618211866,-48921.274491191136,-49226.30659400052,-49232.9428081733,-48945.153161562295
-42370.60914062909,-42347.28019571169,-42391.49944164813,-42381.01208549144,-42387.33919990043
-37416.11608725393,-38635.348281141865,-38623.431317117545,-38624.183842595136,-38622.05046031791
-36944.576657384554,-40625.67820293391,-40610.111098205714,-40602.51251930927,-40618.63400647932
-55251.711125132715,-55282.65360363323,-55276.196723336776,-55274.152624497336,-55280.238161029665
-41875.908521438156,-41957.676097899435,-41964.19714819072,-41530.70603554442,-41973.978032689934
-58962.94828547301,-58969.26623419282,-58942.58396674784,-58936.18986947861,-58963.23869463035
-53323.976728751564,-54530.74209001863,-54541.18790811504,-36974.436306770476,-54540.77559230506
-38535.53171224984,-38483.27677923823,-38531.448419156746,-38505.81993234347,-38487.92632296118
-44748.71282248738,-48950.124824631755,-51850.41187861243,-51871.532409493164,-51723.903519343585
-47173.04029838642,-47162.55717554113,-47185.01446120375,-47178.75305705235,-47187.543174556435
-54685.51695872482,-54688.33889712352,-54687.48228632336,-54666.360390238566,-54664.450354665714
-50195.7416816884,-50181.19841196726,-50161.19022842424,-50190.15760861407,-50185.60787565669
-46468.02845841874,-46458.406994413446,-46458.35713475125,-46470.84787090532,-46457.436057536535
-48928.27189269918,-49567.63891009043,-49926.05217304586,-47945.309698841775,-49546.27859967901
-44247.36443874246,-44381.83970282293,-44423.22255480568,-44414.07504392736,-44396.78200476198
-43731.677618533904,-43734.01396898679,-43736.422855914614,-43748.575296281066,-43760.50095607614
