First,Second,Third,Forth,Fifth
-67402.75416265642,-67400.62759701838,-67325.28976028503,-64071.569880228206,-66713.75795488835
-67496.45795594202,-67293.26260895883,-67494.37891598117,-66665.78827976357,-67481.67973905329
-66787.05244842463,-65413.496434285706,-66754.22795948831,-67072.92580846153,-67024.21899624058
-73832.77238080229,-74003.87736179114,-74278.2720523766,-74345.3798694771,-74262.80192529039
-40084.8596504074,-59800.23635314758,-59233.383954360535,-59768.314383023724,-59757.797043896084
-57494.39930575952,-52408.44240321411,-57369.10700225247,-57441.473258000224,-57516.711189782756
-64252.74603930128,-30010.62983398115,-58235.31825902423,-60820.63521930633,-64287.43795650522
-55792.283491353526,-55826.76614407069,-55826.35365536187,-55829.786197125184,-55807.69568260655
-72421.30940697144,-72311.48822979162,-72147.85865129344,-72291.82575267191,-72340.45848263126
-63701.254124380495,-71899.48943963314,-64291.52673274165,-69718.71317604977,-44203.199723630925
-59948.52503736128,-59982.19542475032,-59987.85638240146,-59020.69068757565,-58859.205925668495
-60800.560464694914,-60787.6713348205,-60743.98333953175,-60792.86803707731,-60485.625402115045
-58914.92681600941,-60120.60319302757,-60948.991946252325,-62122.98018480375,-62200.750104154875
-58304.43667795182,-58114.266826235194,-58241.79145914049,-58005.25413450921,-57870.40548831622
-69458.55649404811,-70344.90044183862,-70888.14124542338,-70966.15586926279,-70845.95265840713
-53881.25089529326,-53980.326396645585,-54151.562820701365,-53796.45881483903,-54045.37602602752
-76943.26266301364,-76939.19315923366,-77028.07887748367,-76883.60194899341,-77023.43803459166
-62755.382696440116,-64402.03079184784,-64036.671557033376,-64419.10282935414,-64407.49072636877
-53002.23292339457,-73319.77302345396,-73997.6812106563,-74194.62087063119,-73137.24033008992
-78959.58981095685,-78869.84732839129,-66317.49364076162,-78956.13230516338,-78873.74874076441
-44252.046939914355,-44273.484409810946,-43802.71878688714,-44257.90337880899,-39657.33313913003
-62671.23499232543,-69831.60824197327,-68721.40191511258,-67008.91692467452,-70013.59933722905
-69274.34626967798,-73012.81915993178,-73122.58069466165,-72563.16004931719,-72886.80866037213
