First,Second,Third,Forth,Fifth
-47303.80427948328,-47271.445863076515,-47336.58484481328,-45387.208769665,-44266.126673210565
-53254.51383826168,-53647.69757006643,-53667.83901624255,-53624.54170913292,-53574.32844166009
-53370.19578509828,-53377.38468296816,-53439.18615423797,-53435.866230028914,-53385.54204055074
-45145.582142979285,-45016.74625397673,-45148.61597415295,-42968.30070437955,-45143.36914012361
-47381.27520507736,-47413.50437638905,-47211.97425022489,-47481.96930015151,-47306.80547532445
-49719.115094001114,-47948.475673410656,-50186.3970786668,-50281.67285792347,-49933.55248354599
-58597.2139024567,-63128.8721510943,-62669.17614581844,-66162.65659966733,-66606.56738789848
-53016.253248725036,-52978.28603516286,-52988.848774649676,-52878.35446030662,-52803.932337750055
-50246.55211655481,-50310.08507364202,-37585.03592604824,-50316.130294436385,-50284.44700274451
-55860.430542073875,-55448.68972639215,-55714.36004208063,-55859.55305043751,-55826.76873771956
-62468.244661126926,-62399.937726431745,-62358.518435950704,-62525.547755717314,-62545.377685431995
-48843.57374707732,-48888.960828036055,-48884.88437639913,-48890.65295605633,-48881.25552084541
-66075.6775508875,-53220.697586185284,-66098.87091661313,-66099.62907808615,-66086.42300728198
-66091.06086449577,-68186.11144061317,-68435.91930813264,-68066.07506746144,-67970.31211608941
-52882.102295664714,-52942.06215825566,-53003.620972355115,-52976.91511083733,-53009.16086383089
-51390.400623513684,-53757.555421835146,-51846.08502763169,-51377.187614301474,-51900.41973248249
-69314.58786551411,-69294.17599899613,-69270.19897450715,-69243.00446788612,-69317.55555532701
-79306.23412858513,-78065.54655582008,-79291.43071816374,-79283.31143160854,-79301.28157634758
-51408.08523441019,-51408.03186093749,-52160.154936647086,-49354.820381231584,-45839.058403222625
-67047.58677654564,-67036.02742997017,-65399.64270185259,-66900.8152003884,-66159.29332721232
-54676.44340865041,-54731.86539418805,-54618.62361288586,-54728.18297822562,-54724.82715269842
-39812.41930129043,-39809.17718913958,-39775.85499226183,-39801.91993966254,-38912.699944235545
-42237.56675687204,-44599.137229927546,-44577.847432916016,-44584.19704280028,-44572.536127656036
-40008.05079236641,-35007.42081303098,-39931.81838352891,-39471.49722609388,-39384.86103088517
-58747.394127349675,-65860.89604169737,-65845.35711338896,-65492.14469869329,-65753.7135520312
-56132.36940024522,-56108.52434275868,-55785.48743309295,-55866.08606439407,-55795.774558328136
-54847.020442263274,-55340.802403081296,-55401.430281324196,-55407.360557506916,-54571.850948796855
-50984.73172577699,-10746.887236146851,-51454.89196881626,-49912.45865477566,-51434.86159286914
-49187.621421591415,-49048.15487313267,-49205.15041854453,-47924.38222975655,-49193.23276657376
-58409.43643866672,-56504.456523770896,-54812.54717627594,-56282.96106017596,-58376.00656537804
-54545.88865441232,-54315.01306068661,-52327.65424625319,-54552.94472229028,-54539.870772226706
-61436.4820949065,-62423.263631544636,-62428.754058217615,-61839.070447010534,-62370.489919828084
-53380.032283090186,-53429.9232598155,-53392.09689467052,-53408.02677464592,-53398.36959909919
-40908.143728145245,-40329.6678382788,-40498.46894577192,-40712.10284388384,-40944.33937063409
-33180.30335224319,-32962.721217721984,-32885.697729618005,-33167.680371416034,-33168.28138843617
-57801.08600023256,-57670.695952432274,-57458.28079858582,-57824.397761245695,-57341.03558145573
-69505.84982944478,-69370.91127411244,-69525.07581056161,-69290.36547251574,-69493.31066279492
-55867.331867205,-55902.94970479417,-55924.48330349529,-55867.12597391363,-55921.40238017791
-51303.74190551273,-51338.424724239034,-50994.435661344876,-51352.791618693605,-51362.901869693684
-49013.60268438329,-49350.26204268211,-49250.559727174725,-49290.26542846722,-49227.174654540286
-39242.78667068071,-39283.86639432018,-39291.524095629095,-38958.27452315812,-38746.9038515712
-54641.864994235046,-53801.30904873693,-54662.55036081033,-54665.85841258824,-54668.17684291244
-48078.869414310095,-48281.73887940722,-48201.353213517,-46762.544542674215,-47600.31375456928
-58952.73254919599,-58920.753505562636,-58953.22808465835,-58844.71083363597,-58955.637721441155
-54630.6100873241,-55762.30379572006,-55681.22243623472,-55810.20868689018,-55794.476734177755
