First,Second,Third,Forth,Fifth
1087.2928181710174,192.66112511723952,180.63247764011226,499.602069007372,219.17089151526238
284.75507085740736,273.09480650731416,164.40282518791702,1161.9680642988396,191.39541199803776
418.71048832607295,655.8409134038158,491.0148453761969,551.2779932892429,374.41423408436066
1519.73870049974,298.1071015616988,1143.7910088079755,854.3476597097642,5859.048378866358
522.2397525137393,611.1735342856687,2458.851711473278,423.78528399052465,1228.5470453331002
225.87765153135217,527.7196525712084,185.33538224218282,230.0651769302761,285.92990843027343
232.74713353034747,330.5554607749231,191.00555881295173,568.191814458087,466.65124522419603
123.64874388638395,470.7732077338209,1588.7519222083413,444.18547502150284,1846.460683907988
398.98024006088235,1599.8392399310753,237.5483646079277,1212.206290723244,606.8025004312967
354.94517318328224,1103.6696138298907,472.7960735223425,2246.48364041212,2195.4345145356247
1862.7521185714927,371.2636825661097,325.32497290657636,257.13763667383546,339.83448033251057
395.0372949326853,2855.020857534873,323.9944447019668,1672.6969420017886,344.47785377147864
522.0095556528819,280.8014489253603,220.36187234575726,278.15950388079614,306.0149450056981
