First,Second,Third,Forth,Fifth
-70513.98644038207,-74116.78862057428,-69986.47821845178,-72423.85272655379,-72408.83860946735
-70593.76058145153,-73920.88145673167,-73876.10680483059,-69347.36363610595,-69417.5301779734
-61099.758802356424,-62654.53992725759,-62334.18642305152,-62640.30279744926,-62645.719896411836
-73089.64568243851,-73026.29065452811,-73049.24262542951,-73111.98839142409,-73122.08499588988
-75667.82918523437,-75567.61959981633,-75860.52800861093,-75936.40288638312,-75975.06271220355
-61943.28924055495,-61464.68315339746,-61793.053841220986,-61842.14847502912,-61848.2095943367
-80783.51091049831,-80787.95799464942,-80779.55866533854,-80730.82630735853,-80733.50629958214
-71619.65261246864,-71629.546548791,-71640.2385513081,-71559.87607154601,-71629.8791769779
-66754.77544868266,-66677.08833667943,-66830.98343546613,-65476.08858141543,-66742.67990153053
-56765.713692588455,-54449.93321277992,-56871.723420679,-56750.70722087669,-56809.022159191976
-73368.03780993933,-72155.4641800517,-72640.32061734381,-73965.34070312588,-72030.88097652668
