First,Second,Third,Forth,Fifth
-46044.007629200285,-46051.76114863346,-46043.92091531916,-46042.51288755367,-45997.894581766086
-47821.49699194005,-47825.033206427106,-47815.90626175711,-47822.21854779644,-47822.352685389786
-47886.89407823935,-47887.42573403116,-47759.380847599525,-47872.86312725183,-47890.246808446456
-43152.72119897216,-43149.13338057683,-43147.088103136135,-43135.840313933215,-43125.5611903471
-59299.97099240909,-59300.150689821916,-59295.21393400202,-59296.53690105272,-59299.801568373565
-40214.11143205966,-40200.92322662415,-40068.73638200393,-40048.94837209105,-40163.41215406869
-37183.266253108566,-37177.200592766734,-37179.17996270085,-37185.27860541467,-37170.43935562445
-47215.70046692537,-47367.714562409434,-47307.26073146394,-47325.374213016585,-46501.721092261585
-56342.69124867821,-56219.480115308135,-56354.61153911831,-56356.604164845594,-56353.7240487658
-45502.512757389646,-45512.73485760602,-45500.474053195925,-45478.935777033876,-45092.278908246786
-49243.95069506576,-49548.25858444704,-49591.977868847986,-49603.17025950708,-49603.26237536126
-39739.661519083165,-38486.20511327834,-38001.16311241601,-39810.08953918532,-39724.92796004853
-48545.49817094178,-47279.32874729284,-48683.20391013415,-48682.33370074447,-48663.255180531916
-54079.492159774105,-53879.69896322824,-54098.51326021638,-54076.65257164648,-54035.695598374805
-38477.075598375246,-38446.217098767615,-33543.451584666305,-37768.16049784618,-38455.96047435455
-53905.820224468116,-53904.445170561325,-53553.172514867285,-53843.62357259232,-51717.06921805785
-54415.037138948566,-54387.03125497597,-54418.9976465502,-54411.40626626535,-54410.14192625165
-41386.88963648172,-41382.67104057546,-41402.3772925972,-41402.12244799255,-41325.59800125683
-52117.438988806716,-52752.283507195534,-52288.66955576621,-52043.70897185363,-50075.568945308114
-52881.58636375473,-52879.06837806485,-52881.60695270805,-52882.20546719794,-52840.20593592621
-50513.954062167315,-50504.51577620438,-50508.15041317351,-50512.344138719665,-50511.22129151797
-38262.305899604864,-38259.93048948953,-38256.523622437766,-38257.163747637365,-38256.34799194156
-35140.84625740909,-35409.169394305754,-35436.893013744084,-34671.91418063187,-35380.8344222791
-49867.410137456056,-38538.354350269015,-49984.02647111745,-49887.543550505165,-50010.29621538003
-58034.789987889344,-58043.57861716987,-58056.60443559394,-57933.89268849749,-58001.333897631856
-45861.73760587042,-45853.71385758201,-45866.2872606984,-45859.04896857115,-45861.650519285664
-35460.95032284645,-35469.56197818027,-35466.24297329698,-35368.08788890512,-35462.28513512052
-64028.569952409736,-64047.72007168691,-64043.332508610314,-64040.365153255545,-64044.662830499394
-47333.935681453826,-47327.645562713566,-47333.55889403248,-47328.15147658229,-47328.42732824978
-63132.94135012199,-63164.05137166907,-63189.26356618919,-63153.9752039935,-63154.286041740896
-50890.412488604336,-50904.9718269859,-48902.38022332417,-50880.55168030675,-50723.96209194114
-62121.28198841546,-62109.24101314116,-62019.36553447692,-62102.48164053043,-62118.53787582974
-47523.54973755781,-47391.81606607953,-47487.004161193225,-47510.63692724276,-47148.45999608392
-62312.89561199997,-62322.072204119824,-62330.654023079864,-62323.677154618665,-62308.45311000949
-50785.63288632216,-50795.650618532745,-52150.5028800772,-50797.96166390546,-50802.435132793165
-39553.78709960113,-39548.363674394386,-39546.68855281951,-39545.70782307155,-39551.233831377765
-45654.001298268144,-45806.76760690358,-45746.91600444541,-45758.80716414238,-45546.18592955149
-58314.44367127236,-58498.462018297774,-58356.66261396128,-58210.44632751362,-58350.51546661628
-62361.05623701755,-62372.092728138574,-62355.29856643091,-62372.138335184325,-62370.07676914693
-46132.276721706556,-46136.49476699912,-45563.83257494224,-46119.68345713462,-46092.21842010006
-49620.85104126993,-49617.99278483409,-49555.77538697999,-49631.354234334365,-49578.85551125572
-51492.40115795368,-51501.481649548536,-51307.363272315175,-51279.46749554794,-51492.151648264284
-48358.001085082215,-48350.822646057284,-48356.83569838546,-48349.653605866035,-48334.6624627525
-46977.78310336917,-46990.280883994485,-46980.284918555975,-46987.277565921955,-46975.87479359952
-61380.53632605966,-61356.66418290522,-61372.840947288845,-61365.364432930925,-61312.454150906444
-50631.36241011536,-50575.224065058865,-50569.29773135637,-50568.592803531465,-50581.939515920036
-41919.77638933082,-41864.96433435103,-41615.097520297335,-41932.656070444515,-41794.866935341895
-43570.76819840066,-43555.742689861836,-43522.70975238639,-43444.38599809026,-43563.653159622634
-56567.82741926501,-56568.61389799955,-56567.02281462697,-56566.23234024162,-56562.83604987307
