First,Second,Third,Forth,Fifth
-52853.11638649802,-52860.37142666426,-52854.969195123806,-52856.38199123169,-52786.101241022814
-36873.895854895,-36875.22041224968,-36876.27591766743,-36854.35808519508,-36876.17251532089
-28176.644232310402,-27912.58455746645,-27974.30607859043,-28167.241212491288,-28168.96399227577
-44102.22182844905,-44102.1120531849,-44098.97920337405,-44104.807332898585,-44104.34077125915
-39056.13590825013,-39054.38073557907,-39026.93152599396,-39026.89858437808,-39059.62705005851
-34995.507041830184,-35034.37137198958,-35078.023056815764,-35017.28829024357,-35080.65232759
-45848.56041879086,-45916.92756179666,-45937.36402525794,-45850.60352832637,-45774.508673904435
-40210.276208703464,-40513.39115073584,-40523.132573249095,-40488.873433749104,-40478.41449297736
-39192.98641854418,-43484.22881616413,-41184.199075815646,-39201.55525378688,-41067.296908369855
-38739.467387976816,-38741.90340360273,-38740.929952955805,-38739.40262455585,-38740.84421287498
-50907.355745023575,-50900.81651057606,-50908.80396882578,-50903.7676868762,-50916.250510156126
-38306.43889292977,-38303.46507284097,-38290.08776762739,-38304.71109803289,-38226.66898306581
-40756.12701517672,-40771.242783243375,-40617.06756420909,-40732.202061459764,-40777.5147698359
-44287.03167133568,-44292.193822011795,-44294.921080325264,-44292.3289288931,-44234.8854186296
-47447.46060924656,-47437.87484781949,-47420.61838753043,-47417.63671499009,-47446.76663899295
-40926.94275197767,-40926.80379400712,-40925.93162194114,-40929.22301418704,-40923.193688130814
-41469.169390115116,-41533.60541962667,-41512.92071256205,-41533.02187598411,-41531.973634287366
-49433.673967603085,-49418.822634642755,-49432.4594088511,-49430.44241774872,-49430.895697811015
-35639.452548577385,-35639.75576697821,-34535.93494740809,-35497.82472659467,-34643.2981980588
-32910.00883989293,-32980.899539662874,-32955.358877350496,-33016.5574861773,-32983.549375422444
-33738.63952180951,-33735.34417464635,-33278.0877935136,-33733.807553604536,-33737.40940325566
-38332.453003655784,-38327.91745411731,-38366.465584786536,-38397.31342436832,-38323.47040528442
-54465.791153140184,-52190.902333014834,-54048.533177605656,-53739.58767961794,-54463.89227617204
-47137.224172187794,-47075.59600540032,-47080.30728136157,-47051.32990127402,-47137.64164002501
-40154.28445822912,-40150.32189889263,-40153.878596121736,-40091.19846975462,-40151.09243528938
-33998.57289822561,-33998.94172066271,-34043.956765687835,-34016.97912802657,-34025.8188282633
-39965.01771471189,-39967.80627993349,-39967.58278857718,-39964.41662891589,-39967.05109670411
-47530.90083967787,-46445.509405253586,-47578.220880519504,-47590.289877170246,-47618.277638813604
-32946.46271958525,-32945.2984058043,-32946.789564283485,-32940.439882522835,-32935.563063039386
-42148.74365895353,-43125.45513245507,-43139.79667409805,-43157.39763406578,-43083.17331780902
-45650.44684954661,-45635.617408051396,-38737.9367159406,-45598.58186042758,-45460.37090714568
-32804.243677905564,-32807.246161851115,-32809.55980882942,-32812.89679230053,-32812.91611949318
-31331.170591081587,-49826.668446783966,-51048.16237888487,-50801.93042756913,-50859.319672300284
-34584.79054805788,-36467.82850753272,-34617.61931928324,-34568.2634429978,-38418.16410408418
-41825.976395450925,-41827.6529914657,-41821.579876191696,-41835.302852627705,-41824.64509391386
-48135.545430207116,-48105.9742317945,-48143.17600981583,-48134.40419662918,-48105.4017772171
-40618.61000713879,-40619.95086682175,-40375.947381199134,-40624.17783402165,-39947.38498138707
-45094.66009919583,-45039.12614111559,-44979.93478227379,-44866.75419462602,-44612.42000393778
-43976.65324790478,-43974.308213138036,-43976.357613190994,-43955.05310446706,-43972.18867404355
-29125.454434900694,-29127.276365630736,-29024.27752269168,-29126.9886516568,-29127.557870901303
-42961.05907324136,-42974.18121486694,-42977.166858215984,-42971.96539716297,-42928.60491425755
-31634.694026532783,-31619.741168338187,-31631.307184855268,-31630.801053632465,-31631.818842811932
-33418.869794884966,-33347.308396283755,-33421.78342214608,-33331.15588750351,-33343.1928549466
-38472.037528307956,-39975.128822039886,-39982.54952295411,-39976.28361010227,-40037.754235502936
-50484.874465144094,-50474.28871722709,-50478.231696429466,-51426.71257196541,-50485.45913487745
-48238.20779970705,-48238.02939666483,-48234.46867747637,-48225.56165259206,-48235.24600449801
-36489.27887872515,-36482.18965693865,-36483.97150398524,-36265.4486672,-36475.77358259572
-30290.31027044702,-30285.3153249244,-30290.625043905788,-30289.413855406732,-30292.417233122495
-43181.30779674556,-43185.41205330971,-43180.675955416315,-43186.316069007116,-43184.62299077615
-42757.13346280263,-42829.11845180061,-42828.5614799254,-42829.3326704432,-42821.38116803888
-36929.09768584272,-36906.97789604325,-36933.54517687298,-36930.207754351424,-36928.043874770985
-27364.38882247475,-27364.787013789955,-26080.935860145968,-27366.897947864618,-27366.211909025908
-33304.53261186125,-33308.59138477627,-33306.4219241142,-33307.97376532852,-33274.774707554825
