First,Second,Third,Forth,Fifth
-35279.39129678627,-35279.071018820316,-35279.37343680032,-35271.86851424421,-35279.187033053415
-41732.2906806154,-41732.37544016786,-41732.162265507046,-41732.20103843712,-41732.157081887046
-44471.76860543031,-44472.821311749394,-44471.1956947903,-44472.89330027062,-44472.694765144646
-63779.724568388396,-63775.59701166869,-63777.84732017874,-63776.72247772156,-63778.11123842084
-39634.0579118082,-39637.61254749399,-39637.373256211016,-39637.87530836756,-39637.747011254934
-39976.68020612046,-39977.76310847183,-39976.08650786062,-39977.05724175948,-39976.02935004901
-58177.092807337496,-58172.2473225309,-58175.245122893015,-58176.27289652179,-58175.98794939051
-51442.789234301075,-51447.84860194177,-51440.22101819001,-51448.23339547436,-51437.85001084184
-40560.70060694825,-40749.336373914055,-40637.22757563973,-40966.830459257355,-40977.52631668641
-48489.4423336973,-48479.24867568773,-48479.49901309543,-48484.87376093594,-48473.24819006175
-27086.532725814337,-27087.090570606673,-27087.002115801468,-27091.104564821748,-27089.25257246929
-36675.94040380418,-36705.15057605493,-36552.19044591915,-38616.90606434455,-38536.33160780535
-41467.69682922304,-41454.73654187458,-41464.35621216987,-41471.693029805894,-41476.20426731307
-39063.608588669646,-39065.00542941095,-39064.502880025284,-39061.168920523734,-39065.8085884741
-49339.616061358895,-49339.65829217415,-49339.31122275056,-49339.249897159876,-49339.3733286237
-50282.21465982929,-50281.753223988235,-50279.88998921651,-50281.348147535944,-50282.06648681041
-34730.25033718133,-34727.033712858734,-34729.66497929884,-34728.08504599886,-34728.6778728758
-47700.568806239644,-52965.69853895746,-49604.23676510021,-49191.152280590606,-49385.780630774956
-43518.48279259035,-43519.049864304594,-43518.977467769684,-43519.15684399035,-43518.42889048468
-45589.22920395551,-45587.87275426911,-45585.04192377937,-45587.26592648416,-45589.78891332645
-34543.777094866586,-34605.58791855391,-34557.74023222904,-34615.94850746557,-34198.07450665897
-48968.07135600802,-48967.94021372004,-48966.49480156086,-48967.72301761818,-48965.965336571084
-36516.49167066354,-36515.95642742598,-36514.293428075565,-36516.66034015981,-36517.35403184922
-35204.52884784257,-35207.30758572894,-35203.559939460436,-35205.664665452336,-35208.436309337
-29603.153313185205,-29607.501820974307,-29604.75748932018,-29601.60213005335,-29607.21295879961
-45167.52359431068,-45165.45454571669,-45166.4686873924,-45164.384210157834,-45167.20934988648
-38955.91130834153,-38955.76487726516,-38955.5230235282,-38955.52973349112,-38955.180985929226
-42062.03091705354,-42062.523703323575,-42061.92066902775,-42062.138137105685,-42061.59297738774
-38948.333857735284,-38949.31691816194,-38944.1130885882,-38948.090115917345,-38949.057374788346
-61126.74384103945,-61128.97769327855,-61128.934959716564,-61129.04691391799,-61127.15421282493
-36855.05114975597,-36854.75596610925,-36854.16230192895,-36854.70120786454,-36854.60599228209
-32292.69415299082,-32293.11507460562,-32293.18268647311,-32294.394299747626,-32293.961204521765
-28863.17758644573,-28860.80294737041,-28863.681568787884,-28863.334565929497,-28860.49654071489
-38008.88419662393,-38008.40065430112,-38008.06669430508,-38008.14673798545,-38008.737541243296
-33858.952150446334,-33860.48429562163,-33860.716837306274,-33859.43750699903,-33861.10177525108
-53283.35175429933,-53289.108237136395,-53279.65166310137,-53286.61746158093,-53284.362448640626
-35020.467572128386,-35022.975142202406,-35021.89617062712,-35022.82092476844,-35022.543151670216
-36195.15031836331,-36195.89159496153,-36194.91769963861,-36195.21959764012,-36195.48253831566
-33735.08454170278,-33734.09280824786,-33734.99619380977,-33734.18057386542,-33734.52471293491
-53982.69567871953,-53994.385521297525,-53994.78998958748,-53980.90349601,-53990.83451882105
-35281.61857529395,-35281.70854426544,-35278.161388209606,-35281.68643840993,-35280.64465173729
-65585.99836505715,-65585.12867013967,-65585.05211178881,-65585.71549475571,-65585.51734838859
-65586.20867420721,-65589.60062036694,-65588.53059206158,-65590.41832484998,-65588.45954616708
-35810.847251286046,-35809.87611493128,-35810.39633125439,-35811.780311454735,-35810.3612426981
-59543.68603576494,-59546.55572123855,-59548.253010243636,-59548.059319140935,-59547.34785432664
-47270.69817597845,-47270.80870030817,-47269.360640351246,-47271.10653945331,-47269.98512439611
-44707.94449151614,-44710.080964807545,-44707.196555291164,-44710.053352473245,-44710.02091156409
