First,Second,Third,Forth,Fifth
-74091.582160045,-74073.00468418821,-74088.41795821258,-74089.19081960976,-74103.01882871953
-71818.81141444358,-71820.40702697374,-71763.32369152467,-71797.58043315701,-71807.4179406979
-74778.62151073222,-74786.15785909827,-74776.21136737683,-74797.26401697985,-74775.533490713
-73493.12964852511,-73447.3021134585,-73473.07052664486,-73490.77022346276,-73456.95374914407
-73618.31199314269,-73620.79552524477,-73622.08371452485,-73621.30384676952,-73635.81620661246
-49332.53550880366,-49325.638531893,-49310.85201398119,-49326.00114297931,-49317.534510675876
-70537.71399314981,-69199.81271955627,-70134.8128396005,-70487.54403417392,-72352.46462707732
-68434.96576968029,-68420.91449598393,-68429.19154751235,-68426.68044378879,-68431.15630585232
-77793.11033371853,-77781.92112820363,-77771.72385480325,-77794.75555191582,-77807.03568217382
-67591.9316824745,-67594.84328547207,-67609.09401587353,-67589.3695959447,-67578.62457352043
-75324.41913819066,-75321.62744637375,-75317.49658676637,-75312.68416193909,-75310.40851525452
