First,Second,Third,Forth,Fifth
-70491.67576721925,-72638.75360644312,-72454.63620649328,-73408.43171389824,-73755.5399079485
-69153.63265482527,-67971.56484182233,-67781.10864895619,-69457.03190850523,-68009.56456340164
-62662.86588777565,-62655.965974517654,-62653.178956162614,-62653.37258477134,-62652.820417740186
-73134.93444943627,-73133.42445064484,-73133.3790534627,-73135.20151408574,-73135.08229823406
-75977.80417893802,-75979.17623970684,-75991.75229201025,-75977.62470381583,-75981.08330655021
-61943.289969412515,-61957.40418111414,-61954.841139151584,-61947.16691166258,-61955.373521563306
-80870.2920603399,-80872.85094142274,-80873.4390138056,-80870.15250514749,-80867.96826658935
-71646.09651840178,-71649.90684461179,-71653.0232392881,-71650.3863599791,-71647.98019511176
-66885.10811602556,-66883.56568556992,-66888.43993353263,-66887.15529365296,-66891.16071935429
-56894.053759689945,-56889.15195249324,-56892.602152788015,-56896.696055369364,-56896.964526548785
-72879.3688732127,-73462.05314962502,-72694.18634085808,-73100.36677716393,-73162.71807716083
