First,Second,Third,Forth,Fifth
-38954.9822475284,-38955.447407915155,-38955.76084887642,-38954.56973095357,-38955.345263247415
-42061.91875287179,-42061.946235666874,-42061.530550949334,-42061.82211770174,-42061.60047527292
-38943.35033777973,-38944.72169299947,-38942.381671626405,-38947.303615567944,-38945.02204951585
-61127.42054757957,-61127.16755759635,-61125.35725077796,-61128.52856471109,-61126.55854396409
-36854.00269631375,-36854.756075459285,-36853.838299030744,-36853.53465357414,-36853.574053613906
-32292.36558536834,-32292.47584849931,-32291.388940108875,-32292.475262333992,-32291.26467038851
-28863.531580163017,-28860.736690954374,-28860.586920644913,-28863.045393281613,-28861.025304997995
-38006.84305781054,-38006.96241119578,-38006.89925784882,-38007.96998836558,-38007.791689000165
-33858.42901241921,-33860.58665525832,-33859.368098508676,-33860.400145420615,-33859.21551413468
-53283.02882246519,-53286.960236590916,-53281.7025341392,-53283.71680809253,-53284.300341071365
-35020.5691300761,-35019.77691077766,-35020.78046860163,-35021.75796754159,-35021.05624729151
-36194.60064194743,-36194.96193611644,-36194.2808686973,-36194.491456337506,-36194.6281588873
-33733.23867315608,-33733.729911668495,-33732.928417909396,-33734.02010952087,-33731.58818930069
-53995.71342711018,-53995.79459329394,-53995.37024361777,-53983.59331518606,-53995.93890516413
-35277.78758981798,-35280.043968845865,-35278.442412611235,-35278.46901460464,-35280.70955185725
-65584.16366676848,-65584.352792387,-65583.86282433555,-65584.30838832463,-65585.70114194321
-65588.57010812862,-65587.99039722342,-65587.89985945141,-65589.65226451677,-65587.93473268986
-35810.223041205165,-35809.79464414773,-35809.42574207712,-35809.569048693564,-35809.97597877959
-59543.527608636155,-59543.46599656788,-59545.21807363209,-59544.80697916553,-59544.6727620215
-47269.790054485784,-47270.25941791648,-47268.81154073148,-47270.01297255997,-47269.743624597395
-44706.896858377055,-44703.309469915876,-44705.999754122146,-44708.9725751067,-44706.88419442933
-46525.54056374435,-46524.88469629035,-46523.80394820797,-46524.88754074534,-46524.16876396658
-49316.494720038696,-49315.84237246563,-49316.56208539658,-49315.51097148676,-49315.576560749185
-51325.8049528899,-51324.92287633693,-51326.58795592578,-51326.4700100701,-51326.40464620944
-33452.36601987241,-33450.72350535675,-33453.0677212429,-33451.430597813174,-33451.07415318631
-40176.96717699974,-40175.81243075647,-40177.816874137934,-40177.113640562406,-40178.04233055881
-35031.33295479303,-35030.92146761564,-35032.29217453752,-35031.87114482707,-35033.287667262746
-46269.49635943658,-46268.89614000913,-46266.87805004193,-46271.17407137854,-46265.03668112203
-50581.34112587722,-50581.494264238965,-50584.34467191861,-50583.224287374534,-50580.48261315719
-42836.90514097665,-42835.992893635084,-42837.026722059054,-42837.99941392859,-42837.090009462605
-50654.54924685912,-50653.78875342668,-50655.44789221763,-50654.67409726797,-50654.99579358285
-42336.3760740189,-42338.071376741136,-42339.20316515207,-42335.79029171298,-42336.50597665868
-35737.94400677018,-35742.09160113175,-35742.46566787814,-35740.819759293416,-35743.040023974434
-32975.24202128212,-32975.73262373984,-32975.87560704255,-32976.063417343896,-32973.9895020218
-32287.345056006838,-32287.214198821595,-32286.747209924935,-32287.305922887364,-32286.77381609185
-36764.226058354056,-36765.32747494672,-36759.326692510724,-36763.91436779274,-36764.02792916223
-42273.80516110263,-42273.48267413965,-42274.65745529829,-42273.190377596584,-42273.74788197017
-47022.32270004337,-47023.25658323667,-47022.06532056902,-47021.482431666846,-47022.78174230074
-48628.744793223384,-48633.086009893574,-48633.49264182612,-48632.24045398431,-48633.7278648898
-45543.16240507537,-45547.045408799095,-45544.82377293896,-45544.72699301407,-45547.29896476849
-53241.924943792386,-53238.253752999866,-53243.61252482655,-53244.37753714,-53243.26038469469
-47528.92113398231,-47527.770161133114,-47528.239919108826,-47528.23166698998,-47529.45291838841
-41500.03132880993,-41496.93259260424,-41499.42662024935,-41500.15372777458,-41497.5652498046
-37540.599871980005,-37542.62647454506,-37543.46625491797,-37542.745274487854,-37541.88257900217
-58913.263320007805,-58918.83348579274,-58919.33451125889,-58918.936882173635,-58913.64273105059
-49166.85618542057,-49165.72185999765,-49167.66661458137,-49168.387341425565,-49163.487831147424
