First,Second,Third,Forth,Fifth
-52862.13193233858,-52860.54290906859,-52860.949406062275,-52860.32906121762,-52857.02330299112
-36876.61185186695,-36876.497632819104,-36876.98586196075,-36877.15858732963,-36876.737377333404
-28176.875752723106,-28178.20443942249,-28178.6886921004,-28178.774385776345,-28176.50931111952
-44119.22789287754,-44119.1698707286,-44120.71154393355,-44119.8918747342,-44120.90111469366
-39059.10020418472,-39058.79809085658,-39058.83895777926,-39059.78478230195,-39059.629801793475
-35081.97211620447,-35083.75438059441,-35082.523983758736,-35084.44723901841,-35085.72059799236
-45936.749781436396,-45937.95855297363,-45937.5937977625,-45936.78225793484,-45937.85531976469
-40525.40040417645,-40525.96812765673,-40527.865194151826,-40527.63730030635,-40525.0470364701
-39206.8082654182,-38459.81210946874,-38639.457612106504,-39207.77174328858,-38719.40505925469
-38743.4730746077,-38742.264296499285,-38743.72605916054,-38741.10882493442,-38743.38951391156
-50924.810551126255,-50909.95931247226,-50930.56779764024,-50930.28281553021,-50921.19069705062
-38307.16987196434,-38304.896242189,-38305.68663949852,-38304.714474663095,-38304.72245255565
-40779.86202378399,-40778.37502079869,-40779.99467243216,-40782.48163920507,-40777.51934893431
-44296.283855600086,-44296.51623168999,-44297.155716732916,-44296.46858813942,-44296.56628491398
-47448.85406837656,-47449.00811099717,-47444.23771750165,-47448.55097771969,-47447.93715368812
-40931.06457974661,-40930.44702128936,-40929.62419011626,-40932.67291632331,-40931.40019055647
-41532.76362861073,-41533.62202027032,-41532.944526943094,-41533.31669079887,-41533.30792052128
-49438.390258717525,-49437.61430198896,-49437.227681433644,-49437.32275514211,-49437.510622907386
-35641.83385251156,-35643.08435275111,-35639.168312849135,-35641.05368702566,-35640.87948559481
-33019.264443991655,-33017.5209419421,-33017.01244614117,-33017.06509013444,-33015.45388012293
-33741.81509509466,-33741.36059301189,-33739.461673083846,-33740.67934800774,-33742.83396857405
-38395.741951788885,-38394.85039670221,-38395.8235038067,-38397.32061951047,-38393.925895726396
-54543.31136488279,-54524.54879230449,-54546.06241715227,-54551.133589959245,-54536.07037853347
-47137.22419728716,-47138.0675138171,-47136.78115224246,-47139.64969703402,-47138.03615429439
-40155.13195429999,-40155.05198125855,-40155.19426491822,-40151.56824376693,-40154.7125169555
-34047.49351636924,-34045.181948552585,-34044.50069565637,-34047.49497527411,-34045.642358773126
-39969.60935261562,-39972.86940010073,-39969.01824403071,-39969.914679634174,-39972.575348474056
-47620.38496007583,-47619.295339753386,-47618.897994300016,-47615.20634646472,-47619.14185529903
-32951.37331892543,-32950.38692538317,-32951.68438262177,-32952.057553308194,-32947.991896119536
-43126.117867322406,-43158.96636387095,-43156.67381744862,-43161.60532145996,-43156.335631914015
-45654.47858221532,-45654.05248184553,-45652.42024303017,-45654.4614486127,-45654.51505815843
-32813.37768686639,-32813.31679698221,-32812.801823215144,-32813.693556980565,-32813.122107160554
-51055.93908071693,-51055.917490279244,-51053.39510126249,-51058.20737753103,-51049.97603531079
-34620.757559536825,-34422.31369716997,-34613.878398980785,-34506.01537520772,-33910.45682924985
-41834.27291513735,-41833.71137153307,-41835.19577490573,-41835.42837188882,-41833.493309518235
-48152.611098461675,-48152.9108813847,-48151.29869586294,-48147.59794823975,-48146.11927169376
-40630.91124274309,-40630.862529395374,-40631.32156960459,-40629.72947747932,-40629.51466092145
-45094.65232402906,-45094.28136311401,-45091.87611359661,-45097.21560247944,-45096.78146372107
-43980.922047019456,-43980.0270243979,-43980.37982950468,-43981.23596190261,-43980.81399373892
-29128.454903788755,-29128.640629705147,-29129.27018351704,-29129.393574091704,-29128.62914106806
-42981.68422550146,-42979.348600431054,-42979.49149743683,-42980.053365989465,-42979.657200214766
-31635.08748191724,-31634.66854651502,-31634.671176368145,-31634.95341645439,-31634.567608361605
-33422.393630521394,-33423.349089891184,-33421.784442399585,-33420.28203656711,-33421.97873379577
-40037.68474140402,-40041.219205093286,-40040.59706917475,-40040.12680307463,-40037.75453743084
-50486.47709617641,-50483.722783907004,-50487.557738643,-50350.8468230726,-50487.608946651475
-48238.45971306718,-48238.034793264604,-48237.84902261185,-48238.76730341612,-48238.15783993915
-36489.283752868425,-36485.13285231539,-36489.327656348934,-36488.67826474577,-36488.885013917024
-30292.594317381856,-30292.525830727278,-30293.00947063136,-30292.206788780077,-30293.71102021776
-43184.30633318713,-43186.51014056119,-43186.79622864247,-43186.972941766326,-43186.569032401916
-42829.02100849527,-42829.27932603443,-42830.272394249005,-42829.68557143702,-42829.50741574337
-36941.39789854419,-36940.361019960066,-36935.03406004846,-36939.31988432245,-36939.54622646648
-27367.583039322035,-27369.660796906323,-27369.23394681899,-27369.959060245852,-27369.036397977437
-33308.53087857006,-33309.525072232864,-33308.15039428642,-33307.9756801523,-33305.13673774352
